Input,Predicted,Actual
Maybe Doug's back there.,<unk> <unk> वापस वापस वापस . .,शायद डौग वापस वहाँ है.
What's with all the cameras?,<unk> <unk> <unk> <unk> है ?,सभी कैमरों के साथ क्या है?
Will my journey stop?,<unk> <unk> पैसे <unk> जीता है,Will my journey stop?
"- Oh, really great.","<unk> , , , , ,","- ओह, सच में बहुत अच्छा।"
Your dad used to say:,<unk> <unk> के लिए है,तुम्हारे पिताजी कहा करते थे:
If we go to war...,<unk> बच्चे के के . . .,लड़ाई छेड़ी...
Why is not it glowing?,<unk> <unk> <unk> नहीं है ?,यह चमक क्यों नहीं है?
"That's a good idea, honey.","<unk> एक एक , , है .","यह एक अच्छा विचार है, शहद है।"
- What's your name?,<unk> नाम नाम नाम है ?,-तुम्हारा नाम क्या है?
"It was all me, James.","<unk> <unk> मुझे , , , .","सबकी मौत के पीछे का कारण मैं ही था, जेम्स।"
You get that tank..,<unk> <unk> <unk> <unk> . .,वो टैंक लो
And that was that.,<unk> कि कि कि था .,और कहा कि... ... कि था.
- ( Cup falls ),( <unk> <unk> ),- (कप गिर जाता है)
♪ Pulsing in the head,<unk> <unk> <unk> <unk>,♪ सिर में स्पंदन
Are you James Baxford?,<unk> <unk> <unk> <unk> <unk> ?,आप जेम्स Baxford हैं?
Why is Gabriella standing there?,<unk> <unk> <unk> <unk> है है है,गैब्रिएला खड़ी क्यों है?
"My dad always said that,",क्योंकि हमेशा हमेशा कि कि था था,"मेरे पिताजी हमेशा कहा है कि,"
Stay away from him.,<unk> उसे बंद रहो .,उससे दूर रहो.
Get him his uniform.,<unk> <unk> <unk> <unk> .,उनकी यूनिफ़ॉर्म दो।
"No, of course you have.","<unk> <unk> , , <unk> . .","नहीं, बिल्कुल तुम्हारे पास है."
"Don't judge me, Lucas.",<unk> मुझे मुझे नहीं <unk> नहीं .,"I justice, Lucas."
"Delta 26, copy that.","<unk> <unk> , , , . .",ठीक है।
Is it the President?,<unk> <unk> <unk> <unk> ? ?,यह राष्ट्रपति है?
The porters are dead!,"<unk> <unk> , कर हैं !",शरीर छूना मत! यह आपके जीवन में ले लेता हूँ!
That you've trapped this lit...,<unk> <unk> <unk> <unk> <unk> . . .,आप फंस कर लिया है कि इस LLT ...
- And here I am.,<unk> <unk> <unk> <unk> . .,- और मैं यहाँ हूँ.
"That's a great eulogy, Shaw.","<unk> एक <unk> <unk> , <unk> .","यह एक महान स्तवन, शॉ है."
What do you mean?,<unk> कुछ कुछ है है ?,क्या मतलब?
We'd never be men again.,<unk> <unk> वापस नहीं नहीं नहीं .,हम फिर से पुरुषों कभी नहीं होगा .
"Where is my shit, bitch?","<unk> मेरे पत्नी , , , ?","मेरी बकवास, कुतिया कहां है?"
"Imagine, two wives, Pelle.","<unk> , , <unk> , , .","कल्पना करो, दो पत्नियाँ, पेले."
Take 5 on 38.,<unk> <unk> <unk> <unk> . .,38 पर 5 लो.
Fasten your seat belt.,<unk> <unk> <unk> <unk> .,अपनी सीट बेल्ट बाँधो।
What's the matter with you?,आप आप साथ <unk> है है ?,तुम्हें हो क्या गया है?
"Let go, you little...","<unk> , , , . . .","जाने दो, तुम छोटे..."
And now you're lying unconscious,<unk> <unk> आप आप <unk> रहे रहे,और अब तुम झूठ बोल रहे हो बेहोश
Midway City is under attack.,<unk> <unk> समय है है .,मिडवे शहर का दौरा किया है।
I topped my college.,<unk> <unk> <unk> <unk> <unk> .,मैं अपने कॉलेज अव्वल रहा।
I can't do it.,<unk> इसे नहीं कर सकते .,मैं यह नहीं कर सकता.
That doesn't sound like us.,<unk> हमें कि कि नहीं है है .,कि हमारे जैसे आवाज़ नहीं करता है.
